f,mag
1494.69921875,404.25
1495.193359375,400.09
1495.6875,212.28
1496.181640625,265.75
1496.67578125,126.57
1497.169921875,413.66
1497.6640625,274.76
1498.158203125,316.87
1498.65234375,350.18
1499.146484375,310.07
1499.640625,354.18
1500.134765625,125.66
1500.62890625,237.32
1501.123046875,526.54
1501.6171875,230.78
1502.111328125,408.46
1502.60546875,288.61
1503.099609375,123.32
1503.59375,254.59
1504.087890625,302.47
1504.58203125,268.52
1505.076171875,483.88
1505.5703125,113.08
1506.064453125,601.57
1506.55859375,594.39
1507.052734375,248.31
1507.546875,375.58
1508.041015625,259.34
1508.53515625,385.43
1509.029296875,63.1
1509.5234375,181.78
1510.017578125,363.46
1510.51171875,206.48
1511.005859375,301.49
1511.5,144.96
1511.994140625,456.64
1512.48828125,403.03
1512.982421875,124.88
1513.4765625,286.64
1513.970703125,459.2
1514.46484375,169.51
1514.958984375,402.49
1515.453125,365.41
1515.947265625,282.63
1516.44140625,171.25
1516.935546875,179.88
1517.4296875,350.25
1517.923828125,156517.59
1518.41796875,235.46
1518.912109375,181.76
1519.40625,84.95
1519.900390625,475.28
1520.39453125,366.89
1520.888671875,561.32
1521.3828125,578.36
1521.876953125,60.77
1522.37109375,322.82
1522.865234375,118.97
1523.359375,191.57
1523.853515625,118.83
1524.34765625,75.49
1524.841796875,443.02
1525.3359375,113.2
1525.830078125,130.82
1526.32421875,586.92
1526.818359375,285.44
1527.3125,203.8
1527.806640625,364.52
1528.30078125,391.75
1528.794921875,377.65
1529.2890625,130.83
1529.783203125,663.05
1530.27734375,116.3
1530.771484375,649.2
1531.265625,312.96
1531.759765625,246.66
1532.25390625,518.58
1532.748046875,437.33
1533.2421875,255.94
1533.736328125,81.41
1534.23046875,271.42
1534.724609375,139.75
1535.21875,445.37
1535.712890625,450.15
1536.20703125,275.67
1536.701171875,301.17
1537.1953125,206.1
1537.689453125,192.96
1538.18359375,215.34
1538.677734375,91.81
1539.171875,414.79
1539.666015625,201.59
1540.16015625,281.15
1540.654296875,418.87
1541.1484375,177.96
1541.642578125,203.49
1542.13671875,73.73
1542.630859375,157.52
1543.125,357.06
1543.619140625,428.49
1544.11328125,351.13
1544.607421875,253.94
1545.1015625,212.89
1545.595703125,190.81
1546.08984375,343.8
1546.583984375,457.4
1547.078125,157.88
1547.572265625,131.86
1548.06640625,270.87
1548.560546875,253.42
1549.0546875,105.59
1549.548828125,152.8
1550.04296875,436.11
1550.537109375,127.07
1551.03125,51.79
1551.525390625,236.8
1552.01953125,105.72
1552.513671875,544.42
1553.0078125,12.92
1553.501953125,465.22
1553.99609375,79.33
1554.490234375,228.43
1554.984375,431.3
1555.478515625,254.18
1555.97265625,254.81
1556.466796875,265.2
1556.9609375,112.29
1557.455078125,331.92
1557.94921875,257.0
1558.443359375,73.69
1558.9375,28.42
1559.431640625,280.98
1559.92578125,153.8
1560.419921875,171.87
1560.9140625,309.33
1561.408203125,95.34
1561.90234375,295.43
1562.396484375,41.03
1562.890625,274.77
1563.384765625,50.22
1563.87890625,476.75
1564.373046875,30.21
1564.8671875,214.38
1565.361328125,353.09
1565.85546875,276.1
1566.349609375,83.3
1566.84375,184.41
1567.337890625,491.25
1567.83203125,103.2
1568.326171875,151.1
1568.8203125,256.29
1569.314453125,536.05
1569.80859375,376.5
1570.302734375,13.32
1570.796875,313.02
1571.291015625,575.79
1571.78515625,373.29
1572.279296875,249.91
1572.7734375,449.17
1573.267578125,336.81
1573.76171875,504.22
1574.255859375,261.1
1574.75,102.48
1575.244140625,338.3
1575.73828125,283.3
1576.232421875,240.84
1576.7265625,370.63
1577.220703125,523.79
1577.71484375,362.35
1578.208984375,604.53
1578.703125,250.47
1579.197265625,335.74
1579.69140625,232.07
1580.185546875,254.11
1580.6796875,267.44
1581.173828125,261.2
1581.66796875,253.08
1582.162109375,171.98
1582.65625,139.2
1583.150390625,338.56
1583.64453125,291.62
1584.138671875,184.95
1584.6328125,303.5
1585.126953125,113.14
1585.62109375,121.31
1586.115234375,335.54
1586.609375,198.42
1587.103515625,243.82
1587.59765625,288.64
1588.091796875,452.91
1588.5859375,152.69
1589.080078125,553.34
1589.57421875,104.42
1590.068359375,353.72
1590.5625,132.52
1591.056640625,474.41
1591.55078125,428.08
1592.044921875,379.44
1592.5390625,314.25
1593.033203125,367.26
1593.52734375,199.54
1594.021484375,219.78
1594.515625,191.33
1595.009765625,292.98
1595.50390625,172.96
1595.998046875,329.81
1596.4921875,211.35
