f,mag
1494.69921875,44.46
1495.193359375,103.32
1495.6875,58.92
1496.181640625,67.51
1496.67578125,115.35
1497.169921875,84.7
1497.6640625,46.6
1498.158203125,35.82
1498.65234375,82.24
1499.146484375,66.18
1499.640625,75.95
1500.134765625,116.66
1500.62890625,44.01
1501.123046875,18.27
1501.6171875,184.58
1502.111328125,131.47
1502.60546875,94.85
1503.099609375,57.13
1503.59375,63.94
1504.087890625,77.26
1504.58203125,81.04
1505.076171875,52.73
1505.5703125,135.21
1506.064453125,51.65
1506.55859375,103.0
1507.052734375,51.42
1507.546875,65.74
1508.041015625,72.67
1508.53515625,74.27
1509.029296875,68.24
1509.5234375,99.94
1510.017578125,155.89
1510.51171875,27.63
1511.005859375,72.55
1511.5,90.74
1511.994140625,91.56
1512.48828125,91.95
1512.982421875,102.94
1513.4765625,91.36
1513.970703125,15.68
1514.46484375,109.35
1514.958984375,194.72
1515.453125,70.28
1515.947265625,50.34
1516.44140625,69.39
1516.935546875,79.35
1517.4296875,106.59
1517.923828125,116.09
1518.41796875,125.31
1518.912109375,153.7
1519.40625,25.6
1519.900390625,130.45
1520.39453125,81.54
1520.888671875,126.02
1521.3828125,26.17
1521.876953125,98.58
1522.37109375,152.66
1522.865234375,167.91
1523.359375,50.43
1523.853515625,99.41
1524.34765625,99.73
1524.841796875,23.94
1525.3359375,95.81
1525.830078125,91.02
1526.32421875,51.96
1526.818359375,47.87
1527.3125,30.55
1527.806640625,33.15
1528.30078125,102.52
1528.794921875,61.74
1529.2890625,23.5
1529.783203125,118.73
1530.27734375,74.87
1530.771484375,80.56
1531.265625,70.99
1531.759765625,55.95
1532.25390625,43.67
1532.748046875,196.31
1533.2421875,65.39
1533.736328125,138.12
1534.23046875,73.46
1534.724609375,48.05
1535.21875,37.71
1535.712890625,98.39
1536.20703125,90.56
1536.701171875,65.44
1537.1953125,80.0
1537.689453125,88.8
1538.18359375,82.02
1538.677734375,182.35
1539.171875,77.99
1539.666015625,104.38
1540.16015625,100.62
1540.654296875,81.83
1541.1484375,95.82
1541.642578125,162.1
1542.13671875,45.09
1542.630859375,98.29
1543.125,98.45
1543.619140625,72.86
1544.11328125,103.29
1544.607421875,138.0
1545.1015625,160.07
1545.595703125,93.57
1546.08984375,37.94
1546.583984375,101.6
1547.078125,83.01
1547.572265625,65.19
1548.06640625,144.81
1548.560546875,40.68
1549.0546875,144.81
1549.548828125,123.76
1550.04296875,59.49
1550.537109375,22.21
1551.03125,77.47
1551.525390625,32.69
1552.01953125,111.93
1552.513671875,71.66
1553.0078125,39.56
1553.501953125,44.98
1553.99609375,15.52
1554.490234375,40.27
1554.984375,116.68
1555.478515625,147.06
1555.97265625,32.6
1556.466796875,152.02
1556.9609375,76.56
1557.455078125,101.01
1557.94921875,190.09
1558.443359375,137.1
1558.9375,233.95
1559.431640625,308.58
1559.92578125,36.39
1560.419921875,171.73
1560.9140625,99.79
1561.408203125,112.0
1561.90234375,96.78
1562.396484375,116.25
1562.890625,108.3
1563.384765625,152.12
1563.87890625,97.0
1564.373046875,96.32
1564.8671875,20.81
1565.361328125,98.26
1565.85546875,105.67
1566.349609375,66.36
1566.84375,77.41
1567.337890625,16.87
1567.83203125,10.18
1568.326171875,32.52
1568.8203125,53.24
1569.314453125,37.88
1569.80859375,26.35
1570.302734375,43.01
1570.796875,65.46
1571.291015625,83.64
1571.78515625,77.05
1572.279296875,23.68
1572.7734375,88.55
1573.267578125,67.57
1573.76171875,59.22
1574.255859375,110.41
1574.75,32.53
1575.244140625,73.17
1575.73828125,105.55
1576.232421875,78.37
1576.7265625,100.27
1577.220703125,142.03
1577.71484375,53.36
1578.208984375,44.62
1578.703125,1.0
1579.197265625,109.66
1579.69140625,71.79
1580.185546875,207.82
1580.6796875,111.16
1581.173828125,143.67
1581.66796875,19.75
1582.162109375,27.0
1582.65625,122.23
1583.150390625,88.72
1583.64453125,92.43
1584.138671875,28.2
1584.6328125,43.45
1585.126953125,50.28
1585.62109375,121.01
1586.115234375,68.46
1586.609375,52.45
1587.103515625,139.25
1587.59765625,165.67
1588.091796875,161.98
1588.5859375,154.8
1589.080078125,224.17
1589.57421875,228.11
1590.068359375,87.62
1590.5625,99.89
1591.056640625,493.05
1591.55078125,407.9
1592.044921875,156.67
1592.5390625,87.26
1593.033203125,49.25
1593.52734375,99.77
1594.021484375,55.78
1594.515625,125.87
1595.009765625,123.95
1595.50390625,138.43
1595.998046875,65.25
1596.4921875,68.45
1596.986328125,162.5
1597.48046875,90.77
1597.974609375,45.83
1598.46875,35.47
1598.962890625,42.06
1599.45703125,73.78
1599.951171875,53.32
1600.4453125,43.86
1600.939453125,59.92
1601.43359375,103.32
1601.927734375,142.33
1602.421875,21.17
1602.916015625,89.9
1603.41015625,27.07
1603.904296875,24.64
1604.3984375,100.74
1604.892578125,93.9
1605.38671875,90.52
1605.880859375,51.21
1606.375,45.39
1606.869140625,183.16
1607.36328125,50.84
1607.857421875,109.62
1608.3515625,15.25
1608.845703125,67.35
1609.33984375,149.12
1609.833984375,76.74
1610.328125,127.37
1610.822265625,155.75
1611.31640625,71.31
1611.810546875,75.67
1612.3046875,17.84
1612.798828125,102.65
1613.29296875,122.97
1613.787109375,132.69
1614.28125,115.7
1614.775390625,81.3
1615.26953125,19.56
1615.763671875,41.69
1616.2578125,109.7
1616.751953125,128.69
1617.24609375,62.71
1617.740234375,107.59
1618.234375,74.14
1618.728515625,133.86
1619.22265625,54.99
1619.716796875,34.01
1620.2109375,93.82
1620.705078125,61.53
1621.19921875,74.88
1621.693359375,177.72
1622.1875,82.51
1622.681640625,55.54
1623.17578125,82.31
1623.669921875,120.12
1624.1640625,16.29
1624.658203125,66.8
1625.15234375,81.45
1625.646484375,13.73
1626.140625,81.67
1626.634765625,130.41
1627.12890625,119.47
1627.623046875,75.96
1628.1171875,96.57
1628.611328125,69.58
1629.10546875,25.24
1629.599609375,54.7
1630.09375,45.27
1630.587890625,55.58
1631.08203125,79.07
1631.576171875,13.9
1632.0703125,38.18
1632.564453125,90.49
1633.05859375,74.57
1633.552734375,86.49
1634.046875,81.52
1634.541015625,94.3
1635.03515625,181.46
1635.529296875,147.64
1636.0234375,88.69
1636.517578125,70.92
1637.01171875,92.77
1637.505859375,145.02
1638.0,146.04
1638.494140625,98.73
1638.98828125,131.57
1639.482421875,87.8
1639.9765625,91.65
1640.470703125,73.72
1640.96484375,51.64
1641.458984375,54.67
1641.953125,82.55
1642.447265625,101.38
1642.94140625,155.77
1643.435546875,171.93
1643.9296875,94.06
1644.423828125,102.28
1644.91796875,41.38
1645.412109375,18.49
1645.90625,57.44
1646.400390625,64.69
1646.89453125,106.47
1647.388671875,80.86
1647.8828125,106.95
1648.376953125,7.15
1648.87109375,49.58
1649.365234375,208.37
1649.859375,67.33
1650.353515625,68.17
1650.84765625,97.42
1651.341796875,120.13
1651.8359375,98.43
1652.330078125,55.09
1652.82421875,88.65
1653.318359375,65.66
1653.8125,88.22
1654.306640625,96.43
1654.80078125,132.03
1655.294921875,28.64
1655.7890625,86.25
1656.283203125,108.15
1656.77734375,30.87
1657.271484375,51.26
1657.765625,149.44
1658.259765625,142.07
1658.75390625,74.43
1659.248046875,82.36
1659.7421875,121.16
1660.236328125,39.19
1660.73046875,67.09
1661.224609375,18.18
1661.71875,95.38
1662.212890625,20.02
1662.70703125,63.25
1663.201171875,53.68
1663.6953125,65.95
1664.189453125,60.74
1664.68359375,146.19
1665.177734375,26.87
1665.671875,116.08
1666.166015625,113.32
1666.66015625,67.1
1667.154296875,104.3
1667.6484375,93.54
1668.142578125,39.29
1668.63671875,131.68
1669.130859375,42.54
1669.625,78.77
1670.119140625,37.23
1670.61328125,172.45
1671.107421875,142.86
1671.6015625,106.58
1672.095703125,39.34
1672.58984375,55.81
1673.083984375,31.99
1673.578125,29.52
1674.072265625,83.16
1674.56640625,63.28
1675.060546875,101.08
1675.5546875,76.43
1676.048828125,117.8
1676.54296875,57.36
1677.037109375,113.65
1677.53125,87.71
1678.025390625,172.34
1678.51953125,48.19
1679.013671875,70.02
1679.5078125,52.21
1680.001953125,31.45
1680.49609375,78.79
1680.990234375,107.91
1681.484375,83.59
1681.978515625,51.62
1682.47265625,29.64
1682.966796875,126.46
1683.4609375,40.96
1683.955078125,70.59
1684.44921875,56.31
1684.943359375,95.12
1685.4375,42.48
1685.931640625,133.83
